Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview
How to Train Your Dragon 2,2014,"Animation, Action, Adventure",102 min,7.8,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace."
Serpico,1973,"Biography, Crime, Drama",130 min,7.7,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.
Dà hóng denglong gaogao guà,1991,"Drama, History, Romance",125 min,8.1,"A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household."
Breakfast at Tiffany's,1961,"Comedy, Drama, Romance",115 min,7.6,"A young New York socialite becomes interested in a young man who has moved into her apartment building, but her past threatens to get in the way."
Brazil,1985,"Drama, Sci-Fi",132 min,7.9,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.
Vikram Vedha,2017,"Action, Crime, Drama",147 min,8.4,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict."
Singin' in the Rain,1952,"Comedy, Musical, Romance",103 min,8.3,A silent film production company and cast make a difficult transition to sound.
12 Years a Slave,2013,"Biography, Drama, History",134 min,8.1,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
The Green Mile,1999,"Crime, Drama, Fantasy",189 min,8.6,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
Raiders of the Lost Ark,1981,"Action, Adventure",115 min,8.4,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers."
Terminator 2: Judgment Day,1991,"Action, Sci-Fi",137 min,8.5,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg."
Lagaan: Once Upon a Time in India,2001,"Adventure, Drama, Musical",224 min,8.1,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.
God's Own Country,2017,"Drama, Romance",104 min,7.7,"Spring. Yorkshire. Young farmer Johnny Saxby numbs his daily frustrations with binge drinking and casual sex, until the arrival of a Romanian migrant worker for lambing season ignites an intense relationship that sets Johnny on a new path."
Barry Lyndon,1975,"Adventure, Drama, History",185 min,8.1,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
Sicario,2015,"Action, Crime, Drama",121 min,7.6,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.
Sherlock Holmes,2009,"Action, Adventure, Mystery",128 min,7.6,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.
Shine,1996,"Biography, Drama, Music",105 min,7.7,"Pianist David Helfgott, driven by his father and teachers, has a breakdown. Years later he returns to the piano, to popular if not critical acclaim."
Amores perros,2000,"Drama, Thriller",154 min,8.1,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."
Kurenai no buta,1992,"Animation, Adventure, Comedy",94 min,7.7,"In 1930s Italy, a veteran World War I pilot is cursed to look like an anthropomorphic pig."
Das Cabinet des Dr. Caligari,1920,"Fantasy, Horror, Mystery",76 min,8.1,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders."
Waking Life,2001,"Animation, Drama, Fantasy",99 min,7.8,A man shuffles through a dream meeting various people and discussing the meanings and purposes of the universe.
Hauru no ugoku shiro,2004,"Animation, Adventure, Family",119 min,8.2,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
The Naked Gun: From the Files of Police Squad!,1988,"Comedy, Crime",85 min,7.6,Incompetent police Detective Frank Drebin must foil an attempt to assassinate Queen Elizabeth II.
The Sound of Music,1965,"Biography, Drama, Family",172 min,8.0,A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.
25th Hour,2002,Drama,135 min,7.6,"Cornered by the DEA, convicted New York drug dealer Montgomery Brogan reevaluates his life in the 24 remaining hours before facing a seven-year jail term."
Bronenosets Potemkin,1925,"Drama, History, Thriller",75 min,8.0,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre."
The Third Man,1949,"Film-Noir, Mystery, Thriller",104 min,8.1,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
Cabaret,1972,"Drama, Music, Musical",124 min,7.8,A female girlie club entertainer in Weimar Republic era Berlin romances two men while the Nazi Party rises to power around them.
Avengers: Infinity War,2018,"Action, Adventure, Sci-Fi",149 min,8.4,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
The Peanut Butter Falcon,2019,"Adventure, Comedy, Drama",97 min,7.6,Zak runs away from his care home to make his dream of becoming a wrestler come true.
Kaze tachinu,2013,"Animation, Biography, Drama",126 min,7.8,"A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II."
Zodiac,2007,"Crime, Drama, Mystery",157 min,7.7,"In the late 1960s/early 1970s, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree."
The Insider,1999,"Biography, Drama, Thriller",157 min,7.8,A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.
October Sky,1999,"Biography, Drama, Family",108 min,7.8,"The true story of Homer Hickam, a coal miner's son who was inspired by the first Sputnik launch to take up rocketry against his father's wishes."
The Magnificent Seven,1960,"Action, Adventure, Western",128 min,7.7,Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.
La double vie de Véronique,1991,"Drama, Fantasy, Music",98 min,7.8,"Two parallel stories about two identical women; one living in Poland, the other in France. They don't know each other, but their lives are nevertheless profoundly connected."
Inherit the Wind,1960,"Biography, Drama, History",128 min,8.1,"Based on a real-life case in 1925, two great lawyers argue the case for and against a science teacher accused of the crime of teaching evolution."
